,time,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,2014-07-27 21:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-28 22:30:00.0,India,9,17,0.077,0,0,0.000,0,0,0.000,0.000,0.000,188.889
,2014-07-28 23:30:00.0,India,5,6,0.032,0,0,0.000,0,0,0.000,0.000,0.000,120.000
,2014-07-29 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 07:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 08:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 09:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 10:30:00.0,India,1,3,0.013,0,0,0.000,0,0,0.000,0.000,0.000,300.000
,2014-07-29 11:30:00.0,India,14,20,0.094,0,0,0.000,0,0,0.000,0.000,0.000,142.857
,2014-07-29 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 14:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 15:30:00.0,India,6,6,0.030,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 16:30:00.0,India,8,8,0.040,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-29 22:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 16:30:00.0,India,6,12,0.062,0,0,0.000,0,0,0.000,0.000,0.000,200.000
,2014-07-30 17:30:00.0,India,11,11,0.055,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 19:30:00.0,India,9,12,0.066,0,0,0.000,0,0,0.000,0.000,0.000,133.333
,2014-07-30 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 09:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 10:30:00.0,India,10,10,0.050,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 11:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 13:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 16:30:00.0,India,2,2,0.010,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 22:30:00.0,India,3,3,0.015,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 23:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 00:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 10:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 11:30:00.0,India,3,3,0.015,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 12:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 15:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 18:30:00.0,India,6,8,0.042,0,0,0.000,0,0,0.000,0.000,0.000,133.333
,2014-08-01 19:30:00.0,India,6,6,0.030,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-04 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 12:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 13:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-09-20 04:00:00.0,India,117,117,0.585,0,0,0.000,0,0,0.000,0.000,0.000,100.000
TOTAL,,,754,782,3.9053832589692234,0,0,0.0,0,0,0.0,0.0,,
